Model,Metric,Without_Engineered,With_Engineered,Improvement_%,Absolute_Diff
LR,Accuracy,0.9879110251450677,0.9898452611218568,0.19579050416054133,0.0019342359767891004
LR,Precision,0.9832402234636871,0.9915730337078652,0.8474846782431126,0.00833281024417809
LR,Recall,0.9487870619946092,0.9514824797843666,0.28409090909091406,0.0026954177897574594
LR,F1,0.9657064471879286,0.9711141678129298,0.5599756158559447,0.005407720625001167
SVM,Accuracy,0.9903288201160542,0.993230174081238,0.29296875000001216,0.0029013539651838727
SVM,Precision,0.9861495844875346,0.989041095890411,0.29321225180852944,0.0028915114028763567
SVM,Recall,0.9595687331536388,0.973045822102426,1.4044943820224849,0.013477088948787186
SVM,F1,0.9726775956284153,0.9809782608695652,0.8533829995114804,0.008300665241149918
RF,Accuracy,0.9874274661508704,0.988394584139265,0.09794319294808666,0.0009671179883945502
RF,Precision,0.9914529914529915,0.9943019943019944,0.2873563218390869,0.002849002849002913
RF,Recall,0.9380053908355795,0.9407008086253368,0.2873563218390618,0.0026954177897572373
RF,F1,0.96398891966759,0.9667590027700832,0.2873563218390892,0.0027700831024931594
GB,Accuracy,0.9864603481624759,0.9903288201160542,0.39215686274509554,0.003868471953578312
GB,Precision,0.9858356940509915,0.9943661971830986,0.865306783228108,0.008530503132107126
GB,Recall,0.9380053908355795,0.9514824797843666,1.4367816091954038,0.013477088948787075
GB,F1,0.9613259668508287,0.9724517906336088,1.1573414394730963,0.011125823782780042
